Format Version,1.1,Take Name,Take 2021-09-15 03.19.26 PM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-09-15 03.19.26.638 PM,Total Frames,4065,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_2,Marker_2,Marker_2,Marker_1,Marker_1,Marker_1,Marker_3,Marker_3,Marker_3
,,"8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702811","8392B20CF49E35702811","8392B20CF49E35702811"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
191,1.910000,-0.354314,1.025034,1.081469,-0.352918,1.164329,1.052306,-0.328303,0.882472,1.066144
192,1.920000,-0.354331,1.025033,1.081507,-0.352934,1.164316,1.052328,-0.328297,0.882458,1.066181
193,1.930000,-0.354274,1.025002,1.081529,-0.352913,1.164289,1.052351,-0.328283,0.882445,1.066221
194,1.940000,-0.354298,1.024997,1.081579,-0.352868,1.164286,1.052371,-0.328252,0.882433,1.066257
195,1.950000,-0.354248,1.024983,1.081600,-0.352870,1.164260,1.052386,-0.328264,0.882419,1.066309
196,1.960000,-0.354285,1.024998,1.081650,-0.352857,1.164273,1.052387,-0.328250,0.882429,1.066378
197,1.970000,-0.354292,1.025016,1.081722,-0.352804,1.164281,1.052392,-0.328272,0.882444,1.066440
198,1.980000,-0.354325,1.025031,1.081777,-0.352900,1.164306,1.052474,-0.328299,0.882442,1.066542
199,1.990000,-0.354350,1.025055,1.081814,-0.352764,1.164296,1.052500,-0.328333,0.882448,1.066602
200,2.000000,-0.354338,1.025071,1.081857,-0.352804,1.164324,1.052566,-0.328361,0.882463,1.066673
201,2.010000,-0.354297,1.025088,1.081894,-0.352822,1.164342,1.052610,-0.328394,0.882486,1.066755
202,2.020000,-0.354393,1.025126,1.081980,-0.352808,1.164359,1.052649,-0.328421,0.882516,1.066869
203,2.030000,-0.354447,1.025116,1.082050,-0.352791,1.164367,1.052685,-0.328463,0.882516,1.066945
204,2.040000,-0.354444,1.025120,1.082111,-0.352825,1.164358,1.052727,-0.328498,0.882518,1.067050
205,2.050000,-0.354466,1.025115,1.082183,-0.352821,1.164371,1.052783,-0.328520,0.882516,1.067175
206,2.060000,-0.354526,1.025123,1.082235,-0.352771,1.164355,1.052819,-0.328568,0.882513,1.067263
207,2.070000,-0.354530,1.025094,1.082297,-0.352830,1.164337,1.052877,-0.328625,0.882493,1.067370
